method,family,horizon,policy,resolved_policy,threshold,cal_recall,cal_ppv,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high
lgbm_plain,lightgbm,600,recall_first,recall_first,0.0655300198508959,0.726027397260274,0.1498771498771498,2.8267973856209148,0.875,0.173076923076923,2.3899953682260304,21,24,0.8228095409325182,0.1875018869071461,0.0087973830847286,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7,1.0,0.1059952978056426,0.2825245365321702,1.66102561253145,3.3619099318741354
lgbm_plain,lightgbm,600,fa_budget,max_recall_within_fa_budget,0.1938135740321773,0.273972602739726,0.2933333333333333,0.4330065359477124,0.375,0.3703703703703703,0.3149606299212598,9,24,0.8228095409325182,0.1875018869071461,0.0087973830847286,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0990625,0.6844129554655871,0.2216666666666666,0.5575757575757581,0.0704788769167861,0.6817685550218064
lgbm_class_weight,lightgbm,600,recall_first,recall_first,0.0682432612946243,0.684931506849315,0.1333333333333333,2.9738562091503264,0.8333333333333334,0.1626506024096385,2.5752663270032423,20,24,0.8249485142689026,0.1976460316438424,0.0107254314471221,1,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6206486042692939,0.9678341013824884,0.0918426724137931,0.2681564645308925,1.8079580209802788,3.47002749874278
lgbm_class_weight,lightgbm,600,fa_budget,max_recall_within_fa_budget,0.1858974358974359,0.2191780821917808,0.24,0.4656862745098039,0.3333333333333333,0.4736842105263157,0.1852709587772116,8,24,0.8249485142689026,0.1976460316438424,0.0107254314471221,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.1167892156862745,0.5789473684210527,0.25,0.6,0.0568833018039926,0.3611051727647295
lgbm_scale_pos_20x,lightgbm,600,recall_first,recall_first,0.0598247819368327,0.6438356164383562,0.1115702479338843,3.513071895424837,0.875,0.1435897435897435,3.094025011579435,21,24,0.8058110773321129,0.2177315632440587,0.0078500446396719,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6869791666666667,1.0,0.072110824742268,0.2346976738586014,2.142024880270996,4.106300724482097
lgbm_scale_pos_20x,lightgbm,600,fa_budget,max_recall_within_fa_budget,0.1375740723032178,0.2876712328767123,0.2682926829268293,0.4901960784313725,0.3333333333333333,0.36,0.2964335340435386,8,24,0.8058110773321129,0.2177315632440587,0.0078500446396719,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.1167892156862745,0.5789473684210527,0.2,0.5,0.1081032590708774,0.5500910568215287
lgbm_oversample_3x,lightgbm,600,recall_first,recall_first,0.0577448514930402,0.6986301369863014,0.1217391304347826,3.3006535947712417,0.875,0.1657142857142857,2.70495599814729,21,24,0.8252541597201792,0.1934213440481415,0.011287443166618,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6869791666666667,1.0,0.0933587519936204,0.2692503987240829,1.918170674853932,3.539804845461924
lgbm_oversample_3x,lightgbm,600,fa_budget,max_recall_within_fa_budget,0.1891333522761557,0.2465753424657534,0.2597402597402597,0.4656862745098039,0.25,0.28,0.333487725798981,6,24,0.8252541597201792,0.1934213440481415,0.011287443166618,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0361111111111111,0.5,0.075,0.428968253968254,0.070715381516811,0.7405594001914738
lgbm_smote_3x,lightgbm,600,recall_first,recall_first,0.0853846153846153,0.6986301369863014,0.1779141104294478,2.1895424836601305,0.75,0.2,1.778601204261232,18,24,0.8172730541662581,0.1804355288480061,0.006770404608511,1,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.5451515151515152,0.9047619047619048,0.1160432060755336,0.3029665051064567,1.1895080137587823,2.570802645991704
lgbm_smote_3x,lightgbm,600,fa_budget,max_recall_within_fa_budget,0.1943058060675272,0.2602739726027397,0.2727272727272727,0.457516339869281,0.375,0.3571428571428571,0.333487725798981,9,24,0.8172730541662581,0.1804355288480061,0.006770404608511,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0990625,0.6844129554655871,0.2,0.6009090909090911,0.0610158112599409,0.764709621951515
