method,horizon,policy,resolved_policy,threshold,cal_recall,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high,family,description
lgbm_smote_3x,600,fa_budget,max_recall_within_fa_budget,0.19430580606752726,0.2602739726027397,0.45751633986928103,0.375,0.35714285714285715,0.333487725798981,9,24,0.8172730541662581,0.18043552884800618,0.006770404608511039,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.09906250000000003,0.6844129554655871,0.2,0.6009090909090911,0.06101581125994095,0.764709621951515,lightgbm,"LightGBM + SMOTE nội suy 5 láng giềng, 3x"
lgbm_jitter_3x,600,recall_first,recall_first,0.075477240586961,0.7123287671232876,2.549019607843137,0.7916666666666666,0.18115942028985507,2.0935618341824918,19,24,0.820844365989997,0.18624792745857666,0.007128258792742269,1,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.5988888888888889,0.9260536398467434,0.10471861471861472,0.288364635822263,1.3441014942599312,2.9662523279273687,lightgbm,"LightGBM + nhiễu Gaussian trên window dương, 3x"
lgbm_jitter_3x,600,fa_budget,max_recall_within_fa_budget,0.19651733485773196,0.3150684931506849,0.4738562091503268,0.375,0.3448275862068966,0.35201482167670217,9,24,0.820844365989997,0.18624792745857666,0.007128258792742269,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.09977272727272728,0.6375598086124404,0.19954545454545455,0.5,0.0751272966010273,0.7989695428660978,lightgbm,"LightGBM + nhiễu Gaussian trên window dương, 3x"
catboost_plain,600,recall_first,recall_first,0.05516833980261337,0.7123287671232876,2.933006535947712,0.875,0.16463414634146342,2.5382121352477998,21,24,0.832141806413651,0.1940693800840208,0.011559030242450728,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6869791666666667,1.0,0.09029381549208958,0.261235481453728,1.8154231581531857,3.380748206472038,catboost,"CatBoost, không cân bằng lớp"
catboost_plain,600,fa_budget,max_recall_within_fa_budget,0.2078105818781575,0.3150684931506849,0.4820261437908496,0.2916666666666667,0.2692307692307692,0.35201482167670217,7,24,0.832141806413651,0.1940693800840208,0.011559030242450728,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.06240808823529412,0.5,0.11720588235294119,0.5461038961038962,0.07071538151681109,0.7440076836114645,catboost,"CatBoost, không cân bằng lớp"
catboost_balanced,600,recall_first,recall_first,0.06766293143092662,0.7123287671232876,2.9166666666666665,0.875,0.17088607594936708,2.427049559981473,21,24,0.7946171531932049,0.1773660057617475,0.007068010718422651,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6875,0.9730534105534107,0.09998344370860927,0.28575892857142854,1.5893930866042594,3.3495911747427276,catboost,CatBoost + auto_class_weights='Balanced'
catboost_balanced,600,fa_budget,max_recall_within_fa_budget,0.19354799331137185,0.2465753424657534,0.45751633986928103,0.375,0.32142857142857145,0.35201482167670217,9,24,0.7946171531932049,0.1773660057617475,0.007068010718422651,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.09977272727272728,0.6375598086124404,0.19954545454545455,0.40763888888888894,0.1032855713090608,0.6872198915533742,catboost,CatBoost + auto_class_weights='Balanced'
catboost_balanced_jitter,600,recall_first,recall_first,0.06358192623106257,0.684931506849315,2.8758169934640523,0.9166666666666666,0.18787878787878787,2.482630847614636,22,24,0.8216316345766184,0.19841801383004476,0.010601692667380223,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7331818181818182,1.0,0.1097230384954452,0.32108991754514143,1.7040468469397865,3.4244770412312953,catboost,CatBoost balanced + nhiễu Gaussian 3x
catboost_balanced_jitter,600,fa_budget,max_recall_within_fa_budget,0.2059912135952785,0.3013698630136986,0.44934640522875813,0.3333333333333333,0.32,0.31496062992125984,8,24,0.8216316345766184,0.19841801383004476,0.010601692667380223,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.09977272727272728,0.5655606407322655,0.18143939393939396,0.4501136363636364,0.10086511189057636,0.6077456337924162,catboost,CatBoost balanced + nhiễu Gaussian 3x
tabm_20260917,600,recall_first,recall_first,0.08325625628232956,0.6986301369863014,2.3937908496732025,0.875,0.2,1.9268179712830014,21,24,0.8131242304381462,0.22731469261377332,0.0061550109051172275,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7,1.0,0.11276852846401718,0.32482993197278914,1.1446920217219303,2.7868387953073945,tabm,"TabM backbone E06 seed 20260917, calibrate lại"
